Data,Valor_Real,Valor_Previsto,Valor_Previsto_SMA
2024-03-12,0.5775142,0.5947249,0.5947248935699463
2024-03-12,0.8434357,0.6405144,0.6176196336746216
2024-03-12,0.91392094,0.7262242,0.6538211504618326
2024-03-12,-2.1553903,-2.0781605,-0.23714065551757812
2024-03-12,-2.1521864,-1.9091814,-1.0870392322540283
2024-03-12,-2.1041281,-1.8823893,-1.9565770626068115
2024-03-12,-2.1009243,-1.8296132,-1.8737279574076335
2024-03-12,-1.9663616,-1.7984611,-1.83682119846344
2024-03-12,-1.8990803,-1.7399173,-1.78933052221934
2024-03-12,-1.8670416,-1.7049109,-1.7477630774180095
2024-03-12,-1.7645177,-1.6512681,-1.6986987590789795
2024-03-12,-1.6972363,-1.5963331,-1.6508373816808064
2024-03-12,-1.6651975,-1.550449,-1.599350094795227
2024-03-12,-1.6331588,-1.5108981,-1.5525600910186768
2024-03-12,-1.5979161,-1.4804844,-1.5139438311258953
2024-03-12,-1.3672372,-1.4277172,-1.4730332295099895
2024-03-12,-1.3351985,-1.3309704,-1.4130573272705078
2024-03-12,-1.271121,-1.2532748,-1.3373208045959473
2024-03-12,-1.2358785,-1.1807009,-1.2549820343653362
2024-03-12,-1.0019957,-1.1074897,-1.1804884672164917
2024-03-12,-0.90587944,-1.0157285,-1.1013063589731853
2024-03-12,-0.8385981,-0.9012947,-1.0081709623336792
2024-03-12,-0.8065593,-0.7853298,-0.9007843335469564
2024-03-12,-0.7713167,-0.71358573,-0.8000700871149699
2024-03-12,-0.73927796,-0.66518617,-0.7213672399520874
2024-03-12,-0.7072393,-0.6249033,-0.6678917407989502
2024-03-12,-0.67199665,-0.5876694,-0.6259196201960245
2024-03-12,-0.44452158,-0.5072967,-0.5732897917429606
2024-03-12,-0.31316277,-0.38222343,-0.4923964937527974
2024-03-12,-0.24588141,-0.25285888,-0.3807929952939351
2024-03-12,-0.21384268,-0.14930418,-0.2614621619383494
2024-03-12,-0.079279974,-0.06470501,-0.15562268843253454
2024-03-12,0.08411759,0.030803591,-0.061068532367547355
2024-03-12,0.21868029,0.1526914,0.039596659441788994
2024-03-12,0.25071904,0.27753454,0.15367650985717773
2024-03-12,0.31800038,0.36771455,0.26598016421000165
2024-03-12,0.35003912,0.42977914,0.3583427468935649
2024-03-12,0.48460183,0.47655705,0.4246835807959239
2024-03-12,0.58071804,0.5487741,0.48503677050272626
2024-03-12,0.61596066,0.6126833,0.5460048218568166
2024-03-12,0.683242,0.66993415,0.6104638576507568
2024-03-12,0.81139696,0.7082155,0.6636109749476115
2024-03-12,0.8466396,0.754678,0.710942546526591
2024-03-12,0.91392094,0.80026853,0.7543873389561971
2024-03-12,0.9491635,0.84366715,0.7995378971099854
2024-03-12,-2.1553903,-2.082687,-0.14625040690104166
2024-03-12,-2.05607,-1.9012672,-1.0467623074849446
2024-03-12,-1.85743,-1.7925478,-1.9255006313323975
2024-03-12,-1.7933525,-1.6908702,-1.794895052909851
2024-03-12,-1.7260711,-1.6334639,-1.7056272824605305
2024-03-12,-1.6940324,-1.567548,-1.6306273539861043
2024-03-12,-1.6587898,-1.5330826,-1.5780315001805623
2024-03-12,-1.6267511,-1.5018476,-1.5341594219207764
2024-03-12,-1.5274309,-1.4670125,-1.5006475845972698
2024-03-12,-1.4953922,-1.4157317,-1.461530605951945
2024-03-12,-1.4601496,-1.3691953,-1.4173131783803303
2024-03-12,-1.4281108,-1.3304882,-1.3718050718307495
2024-03-12,-1.3960721,-1.3021265,-1.3339366912841797
2024-03-12,-1.3287908,-1.2690262,-1.3005469640096028
2024-03-12,-1.296752,-1.2313848,-1.2675124804178874
2024-03-12,-1.2647133,-1.1958355,-1.2320821285247803
2024-03-12,-1.2294707,-1.1622825,-1.1965008974075317
2024-03-12,-1.1653932,-1.1331025,-1.1637401580810547
2024-03-12,-1.1301506,-1.10295,-1.1327783266703289
2024-03-12,-0.9955879,-1.0486134,-1.0948886473973591
2024-03-12,-0.83219033,-0.96132314,-1.0376288493474324
2024-03-12,-0.72966635,-0.83413684,-0.9480244716008505
2024-03-12,-0.6976276,-0.6860119,-0.8271572987238566
2024-03-12,-0.662385,-0.5893041,-0.7031509478886923
2024-03-12,-0.6303463,-0.5384586,-0.6045915285746256
2024-03-12,-0.59830755,-0.50258017,-0.5434476137161255
2024-03-12,-0.5310262,-0.45832777,-0.4997888406117757
2024-03-12,-0.46374482,-0.40266484,-0.45452425877253216
2024-03-12,-0.39646348,-0.3405636,-0.4005187352498372
2024-03-12,-0.2971434,-0.27324885,-0.3388257622718811
2024-03-12,-0.26510465,-0.20244667,-0.27208637197812396
2024-03-12,-0.1978233,-0.14188746,-0.20586099227269491
2024-03-12,-0.16578457,-0.074139416,-0.13949118057886759
2024-03-12,-0.13374583,-0.03475435,-0.08359374105930328
2024-03-12,-0.09850322,0.008680493,-0.03340442478656769
2024-03-12,0.036059484,0.05959204,0.01117272675037384
2024-03-12,0.068098225,0.13043705,0.06623652577400208
2024-03-12,0.13537957,0.19636616,0.12879841526349387
2024-03-12,0.16741832,0.25899562,0.19526627659797668
2024-03-12,0.19945705,0.29937235,0.25157804290453595
2024-03-12,0.2667384,0.34001222,0.2994600633780162
2024-03-12,0.29877713,0.3821883,0.340524286031723
2024-03-12,0.3660585,0.43303552,0.38507867852846783
2024-03-12,0.40130112,0.47854522,0.4312563439210256
2024-03-12,0.4365437,0.51809096,0.47655723492304486
2024-03-12,0.5358638,0.55846334,0.5183665057023367
2024-03-12,0.56790257,0.60149276,0.5593490203221639
2024-03-12,0.734504,0.6422845,0.6007468700408936
2024-03-12,0.76654273,0.7012738,0.6483503580093384
2024-03-12,0.7985815,0.7485919,0.6973834037780762
2024-03-12,0.8658628,0.79040647,0.7467573881149292
2024-03-12,0.9011054,0.81655633,0.785184899965922
2024-03-12,0.93314415,0.8433454,0.8167694012324015
2024-03-12,-2.1682057,-2.0801513,-0.1400831937789917
2024-03-12,-2.0720894,-1.9255632,-1.054123044013977
2024-03-12,-2.0048082,-1.8362514,-1.9473219712575276
2024-03-12,-1.9727694,-1.7761058,-1.8459734519322712
2024-03-12,-1.9407307,-1.7419678,-1.7847749789555867
2024-03-12,-1.905488,-1.7136098,-1.7438944578170776
2024-03-12,-1.8734493,-1.6901854,-1.7152543465296428
2024-03-12,-1.8414106,-1.6675192,-1.690438151359558
2024-03-12,-1.8093718,-1.6445765,-1.6674270629882812
2024-03-12,-1.7773331,-1.6221162,-1.6447373231252034
2024-03-12,-1.6107317,-1.5738041,-1.6134989658991497
2024-03-12,-1.5786929,-1.4989114,-1.5649439096450806
2024-03-12,-1.5466542,-1.4471318,-1.5066157579421997
2024-03-12,-1.5146154,-1.3973795,-1.4478075504302979
2024-03-12,-1.4793729,-1.369727,-1.4047460953394573
2024-03-12,-1.2454901,-1.3117139,-1.3596068223317463
2024-03-12,-1.2134513,-1.2248038,-1.30208158493042
2024-03-12,-1.1814126,-1.1525713,-1.2296963532765706
2024-03-12,-1.1493739,-1.0916544,-1.1563431819279988
2024-03-12,-1.1173351,-1.0682788,-1.104168176651001
2024-03-12,-1.0820925,-1.042806,-1.067579746246338
2024-03-12,-0.58228815,-0.8945931,-1.0018926461537678
2024-03-12,-0.51500684,-0.67183447,-0.8697445392608643
2024-03-12,-0.41568673,-0.49304777,-0.6864917874336243
2024-03-12,-0.38364798,-0.32343698,-0.4961064060529073
2024-03-12,-0.12093033,-0.21662562,-0.34437012175718945
2024-03-12,-0.088891596,-0.074815825,-0.20495947202046713
2024-03-12,0.30838877,0.07328363,-0.07271927098433177
2024-03-12,0.3756701,0.29114404,0.09653728206952412
2024-03-12,0.40770885,0.4151084,0.2598453611135483
2024-03-12,0.5743103,0.5349196,0.41372402509053546
2024-03-12,0.6095529,0.60305524,0.5176944235960642
2024-03-12,0.64159167,0.65462077,0.5975318749745687
2024-03-12,0.67363036,0.6980289,0.651901642481486
2024-03-12,0.708873,0.71749234,0.6900473435719808
2024-03-12,0.77615434,0.7366873,0.7174028555552164
2024-03-12,0.81139696,0.7634702,0.7392166058222452
2024-03-12,0.9779984,0.7899704,0.7633759578069051
2024-03-12,-2.1938367,-2.0873346,-0.1779646873474121
2024-03-12,-2.059274,-1.9305423,-1.075968861579895
2024-03-12,-1.9631578,-1.8278712,-1.9485827287038167
2024-03-12,-1.9279152,-1.7576487,-1.8386874198913574
2024-03-12,-1.8958764,-1.7155495,-1.7670231262842815
2024-03-12,-1.8638377,-1.6832417,-1.7188133001327515
2024-03-12,-1.7004402,-1.6344687,-1.6777532895406086
2024-03-12,-1.6651975,-1.5728244,-1.6301782528559368
2024-03-12,-1.6331588,-1.5234048,-1.5768992900848389
2024-03-12,-1.60112,-1.4729341,-1.5230544408162434
2024-03-12,-1.5690813,-1.4443969,-1.4802452723185222
2024-03-12,-1.5338387,-1.4161986,-1.4445098638534546
2024-03-12,-1.5018,-1.387886,-1.4161605040232341
2024-03-12,-1.4697613,-1.3599695,-1.388018051783244
2024-03-12,-1.4377224,-1.3327115,-1.3601890007654827
2024-03-12,-1.2358785,-1.2788162,-1.323832392692566
2024-03-12,-1.2038397,-1.2041515,-1.27189306418101
2024-03-12,-1.171801,-1.1385638,-1.2071771621704102
2024-03-12,-1.1365583,-1.0840647,-1.142259995142619
2024-03-12,-1.0019957,-1.0337783,-1.0854689280192058
2024-03-12,-0.9699569,-0.9834622,-1.0337684154510498
2024-03-12,-0.90267557,-0.90060365,-0.9726147254308065
